mean,standard_deviation,entropy,skewness,kurtosis,energy,contrast,class
59.023022222222224,85.661155873201,4.110060735188701,1.256930395262451,0.1886621860033113,0.551519940055015,1075.3752125279689,N
49.92171111111111,59.86998583750646,5.285860308248918,1.180256276786227,0.9461997405417808,0.3827682683787285,726.7660626398211,N
25.26042222222222,41.473540992883535,4.251630863987318,2.303499748696106,6.320620385208123,0.5076468479861447,430.9008277404928,N
55.85135555555556,63.65152781919712,5.124178979062862,0.8353866297582331,0.004028995272087776,0.3817216789433998,1045.7802013422825,N
35.10166666666667,57.554330057201895,4.095236161288946,1.7170887128578058,2.352714401280142,0.5434459748506204,816.1882326621953,N
36.8215,46.31754735848561,5.3528788522879465,1.8552278185987183,3.7390963589248942,0.32177353048876073,371.0260626398211,Y
49.234633333333335,61.870939709464785,5.314286471098456,1.4647618646631413,1.6620186654795317,0.36644455455640723,547.0442505592841,Y
37.576255555555555,57.198737812232054,4.619763720178699,1.6422062720837125,1.7983347122578923,0.46013565753077856,630.484317673379,Y
65.53838888888889,81.46456103159817,4.75168016190411,0.7892747737074737,-0.748771390223566,0.4494721878759897,498.2459731543626,Y
17.379744444444444,45.00441268168689,2.7185437426535684,2.9519153369705986,8.37280380294943,0.6828455691960367,150.2481879194632,Y
66.43806666666667,75.17000737466141,5.707355199478425,0.957157085239544,-0.016594243170585443,0.33724367106063663,977.4806263982109,Y
